date	close	volume	open	high	low
5/10/17	355.33	4167913	356	357.435	351.35
6/10/17	356.88	4272866	353.1	360.0992	352.25
9/10/17	342.94	7461461	349.65	351.75	342.67
10/10/17	355.59	6972263	346.8	355.63	345.5305
11/10/17	354.6	4494733	353.89	357.6	351.15
12/10/17	355.68	4073552	352.95	359.78	352.64
13/10/17	355.57	3538807	356.98	358.49	353.68
16/10/17	350.6	5373090	353.76	354.48	347.16
17/10/17	355.75	3290290	350.91	356.22	350.07
18/10/17	359.65	4936024	355.97	363	354.13
19/10/17	351.81	5055715	355.56	357.1465	348.2
20/10/17	345.1	4925657	352.69	354.55	344.34
23/10/17	337.02	5739598	349.88	349.95	336.25
24/10/17	337.34	4485692	338.8	342.8	336.16
25/10/17	325.84	8583619	336.7	337.5	323.56
26/10/17	326.17	5010087	327.78	330.23	323.2
27/10/17	320.87	6968365	319.75	324.59	316.66
30/10/17	320.08	4247619	319.18	323.78	317.25
31/10/17	331.53	5650062	320.23	331.95	320.18
1/11/17	321.08	8242487	332.25	332.6089	320.26
2/11/17	299.26	19771280	300.13	308.69	292.63
3/11/17	306.09	8885933	299.5	306.25	295.13
6/11/17	302.78	6480689	307	307.5	299.01
7/11/17	306.05	5284844	301.02	306.5	300.03
8/11/17	304.39	4725355	305.5	306.89	301.3001
9/11/17	302.99	5440173	302.5	304.46	296.3
10/11/17	302.99	4621080	302.5	308.36	301.85
13/11/17	315.4	7565242	300.13	316.8	299.11
14/11/17	308.7	5661904	315	316.35	306.9
15/11/17	311.3	5951835	306.01	312.49	301.5
16/11/17	312.5	5794409	313.99	318.14	311.3
17/11/17	315.05	13720830	325.67	326.67	313.15
20/11/17	308.74	8241821	313.79	315.5	304.75
21/11/17	317.81	7256381	310.86	318.23	308.71
22/11/17	312.6	4913283	316.77	317.42	311.84
24/11/17	315.55	3244065	313.79	316.41	311
27/11/17	316.81	4537779	313.25	317.34	309.51
28/11/17	317.55	4941703	316.36	320	313.92
29/11/17	307.54	8757463	317.3	318	301.23
30/11/17	308.85	4345434	308.56	310.7	304.54
1/12/17	306.53	4286082	305.44	310.32	305.05
4/12/17	305.2	5834227	306.5	308.265	300.61
5/12/17	303.7	4643708	302	308	301
6/12/17	313.26	7184477	300.1	313.39	300
7/12/17	311.24	4779590	312	318.6341	311.05
8/12/17	315.13	3466088	314.6	316.98	311.26
11/12/17	328.91	7926090	314.63	329.01	313.75
