date	close	volume	open	high	low
3/8/16	225.79	3808747	227.37	229.699	224.21
4/8/16	230.61	4142155	225.69	230.86	222.05
5/8/16	230.03	3190342	230	232	227.4
8/8/16	226.16	2259465	228	229.6	226.09
9/8/16	229.08	2199766	226.82	231.5375	226.65
10/8/16	225.65	2336496	228.24	229.87	224.62
11/8/16	224.91	1876959	226.17	227.57	223.41
12/8/16	225.61	1811850	225.41	226.65	224.04
15/8/16	225.59	2017964	226.02	229.5	224.93
16/8/16	223.61	2251115	225.49	227.19	223.4101
17/8/16	223.24	1786408	224.33	224.83	222.8
18/8/16	223.51	1699300	223.82	225.66	222.29
19/8/16	225	1658616	223.54	225.169	222.53
22/8/16	222.93	2061692	224.17	225.11	222.68
23/8/16	224.84	4747745	224.32	228.49	222.8
24/8/16	222.62	2566947	227.05	227.15	222.22
25/8/16	220.96	1760212	223.11	223.8	220.77
26/8/16	219.99	2238087	222.14	222.855	218.82
29/8/16	215.2	3261381	220.15	220.4	215
30/8/16	211.34	3164222	216.11	216.11	210.52
31/8/16	212.01	3274854	210.43	212.6	208.65
1/9/16	200.77	7932444	209.01	211.0999	200.5
2/9/16	197.78	5970154	202.33	203.2	196.2
6/9/16	202.83	4386193	199.02	203.25	199
7/9/16	201.71	3637918	205.5	206.4968	200.71
8/9/16	197.36	3372293	199.55	199.89	196.36
9/9/16	194.47	3753734	199.09	199.92	193.7
12/9/16	198.3	3714049	195	201.369	194.1
13/9/16	196.05	3583140	197.06	198.49	193.45
14/9/16	196.41	2256143	195.75	197.9248	194.8562
15/9/16	200.42	3082942	196.49	202.5193	196.4
16/9/16	205.4	3104266	200.42	205.7	199
19/9/16	206.34	2298318	207	209.43	205
20/9/16	204.64	2408556	206.85	207.75	203.91
21/9/16	205.22	2631285	206.37	207	201.56
22/9/16	206.43	2381600	206.4	207.28	203
23/9/16	207.45	2904125	205.99	210.18	205.67
26/9/16	208.99	2393373	206.5	211	206.5
27/9/16	205.81	3367907	209.65	209.9818	204.6093
28/9/16	206.27	2079324	207.51	208.25	205.26
29/9/16	200.7	2714040	205.6	207.33	200.58
30/9/16	204.03	2581730	202.21	204.98	199.55
3/10/16	213.7	5989342	212.3	215.6688	208.25
4/10/16	211.41	3537953	213.1	213.32	208.82
5/10/16	208.46	1872456	212.24	213.15	208.12
6/10/16	201	4697937	202.46	204.2099	200.21
7/10/16	196.61	3489480	201	201.32	195.8
10/10/16	200.95	3311340	201.35	204.14	199.66
11/10/16	200.1	2326754	201.85	202.2	198.31
12/10/16	201.51	1969099	200.95	203.88	200.42
13/10/16	200.24	2495140	200.5	200.895	197.05
14/10/16	196.51	4265471	200.66	201.43	196.3
17/10/16	193.96	4518331	197.05	198.39	192
18/10/16	199.1	5676046	195.99	199.47	193.26
19/10/16	203.56	6966185	199.74	206.66	198.06
20/10/16	199.1	5069410	202.12	203	197.05
21/10/16	200.09	2936908	198.6	201.57	197.41
24/10/16	202.76	2747344	201	203.9452	200.25
25/10/16	202.34	2442118	202.9	204.69	201.2
26/10/16	202.24	5346893	201	203.19	200.1
27/10/16	204.01	13070990	211.34	213.7	201.65
28/10/16	199.97	4273456	204	205.32	199.83
31/10/16	197.73	4691320	202.49	202.49	195.81
1/11/16	190.79	7023674	198.04	198.5	188.105
2/11/16	188.02	4242250	190.05	192.6951	187.505
3/11/16	187.42	2644550	189	191.47	187.0401
4/11/16	190.56	5143915	189	193.46	185.96
7/11/16	193.21	3857682	193.59	194.29	190.05
8/11/16	194.94	3252927	193.79	197.49	191.26
9/11/16	190.06	8166447	186.875	192	183.95
10/11/16	185.35	6746290	191.05	191.61	180.42
11/11/16	188.56	3987091	184.24	188.88	183
14/11/16	181.45	6547913	188	188.25	178.19
15/11/16	183.77	3899743	182.78	186.43	182.05
16/11/16	183.93	3432668	182.65	184.73	181.21
17/11/16	188.66	4880969	183.49	189.49	182.1101
18/11/16	185.02	5206473	190.65	193	185
21/11/16	184.52	4355872	185.04	188.89	184.41
22/11/16	191.17	5601238	185.84	191.47	183.71
23/11/16	193.14	4890285	190.61	195.644	189
25/11/16	196.65	2366098	193.64	197.2372	193.64
28/11/16	196.12	4521082	195.48	199.35	194.55
29/11/16	189.57	4435312	195.56	196.73	189.5
30/11/16	189.4	3544891	191	191.89	187.5
1/12/16	181.88	5119105	188.25	188.53	181
2/12/16	181.47	4040201	182.88	184.88	180
5/12/16	186.8	4069480	182.51	188.89	182.51
6/12/16	185.85	3389365	185.52	186.58	182.6825
7/12/16	193.15	5457071	186.15	193.4	185
8/12/16	192.29	3193684	192.05	192.5	189.54
9/12/16	192.18	2720937	190.87	193.836	190.81
12/12/16	192.43	2436428	192.8	194.42	191.04
13/12/16	198.15	6819322	193.18	201.28	193
14/12/16	198.69	4147314	198.74	203	196.76
15/12/16	197.58	3218653	198.41	200.74	197.39
16/12/16	202.49	3795444	198.08	202.59	197.6
19/12/16	202.73	3486937	202.49	204.45	199.84
20/12/16	208.79	4684269	203.05	209	202.5
21/12/16	207.7	5206143	208.45	212.23	207.41
22/12/16	208.45	3108427	208.22	209.99	206.5
23/12/16	213.34	4668263	208	213.45	207.71
27/12/16	219.53	5913335	214.88	222.25	214.42
28/12/16	219.74	3778544	221.53	223.8	217.2
29/12/16	214.68	4043086	218.56	219.2	214.1225
